language,hpc_cluster,grid_size,n_workers,core_secs
r,cosmos,16384,16,162.546867370605
r,cosmos,16384,17,161.582091808319
r,cosmos,16384,18,167.410397529602
r,cosmos,16384,19,173.859569072723
r,cosmos,16384,20,164.939670562744
r,cosmos,16384,21,165.441880702972
r,cosmos,16384,2,141.389230728149
r,cosmos,16384,22,167.95255947113
r,cosmos,16384,23,172.808399200439
r,cosmos,16384,24,188.881101608276
r,cosmos,16384,25,177.831327915192
r,cosmos,16384,26,175.476611614227
r,cosmos,16384,27,171.980405330658
r,cosmos,16384,28,176.408256530762
r,cosmos,16384,29,171.75673532486
r,cosmos,16384,30,185.776169300079
r,cosmos,16384,31,177.298345327377
r,cosmos,16384,3,157.262437105179
r,cosmos,16384,32,172.654602050781
r,cosmos,16384,33,177.846423625946
r,cosmos,16384,34,190.360697746277
r,cosmos,16384,35,178.715822696686
r,cosmos,16384,36,190.34219455719
r,cosmos,16384,37,180.23533821106
r,cosmos,16384,38,178.186317443848
r,cosmos,16384,39,187.043293476105
r,cosmos,16384,40,174.064035415649
r,cosmos,16384,41,177.565324306488
r,cosmos,16384,4,151.210681915283
r,cosmos,16384,42,179.309067249298
r,cosmos,16384,43,180.645807981491
r,cosmos,16384,44,180.144491195679
r,cosmos,16384,45,206.3181245327
r,cosmos,16384,46,182.442244052887
r,cosmos,16384,47,187.185526847839
r,cosmos,16384,48,192.922164916992
r,cosmos,16384,5,153.164738416672
r,cosmos,16384,6,152.514161109924
r,cosmos,16384,7,152.131587743759
r,cosmos,16384,8,159.699756622314
r,cosmos,16384,9,181.857045650482

