language,hpc_cluster,grid_size,n_workers,core_secs
julia,rackham,16384,19,46.056
julia,rackham,16384,20,49.62
julia,rackham,16384,1,5.077
julia,rackham,16384,2,11.85
julia,rackham,16384,3,14.487
julia,rackham,16384,4,16.684
julia,rackham,16384,5,17.895
julia,rackham,16384,6,20.214
julia,rackham,16384,7,22.603
julia,rackham,16384,8,22.608
julia,rackham,16384,9,24.534
julia,rackham,16384,10,27.9
julia,rackham,16384,11,29.48
julia,rackham,16384,12,30.408
julia,rackham,16384,13,32.318
julia,rackham,16384,14,34.902
julia,rackham,16384,15,37.53
julia,rackham,16384,16,40.176
julia,rackham,16384,17,43.027
julia,rackham,16384,18,47.61
julia,rackham,16384,19,48.754
julia,rackham,16384,20,47.82
julia,rackham,16384,10,25.42
julia,rackham,16384,11,28.49
julia,rackham,16384,12,29.736
julia,rackham,16384,13,30.251
julia,rackham,16384,1,4.231
julia,rackham,16384,14,38.01
julia,rackham,16384,15,39.525
julia,rackham,16384,16,41.52
julia,rackham,16384,17,45.883
julia,rackham,16384,18,42.282
julia,rackham,16384,19,46.645
julia,rackham,16384,20,47.92
julia,rackham,16384,2,12.454
julia,rackham,16384,3,14.484
julia,rackham,16384,4,15.836
julia,rackham,16384,5,19.085
julia,rackham,16384,6,19.254
julia,rackham,16384,7,22.022
julia,rackham,16384,8,22.72
julia,rackham,16384,9,25.758
julia,rackham,16384,10,26.31
julia,rackham,16384,11,28.336
julia,rackham,16384,12,30.444
julia,rackham,16384,13,31.369
julia,rackham,16384,1,4.183
julia,rackham,16384,14,35.812
julia,rackham,16384,15,39.135
julia,rackham,16384,16,41.12
julia,rackham,16384,17,43.843
julia,rackham,16384,18,43.236
julia,rackham,16384,19,44.612
julia,rackham,16384,20,47
julia,rackham,16384,2,10.374
julia,rackham,16384,3,12.741
julia,rackham,16384,4,15.636
julia,rackham,16384,5,18.33
julia,rackham,16384,6,20.328
julia,rackham,16384,7,24.094
julia,rackham,16384,8,23.576
julia,rackham,16384,9,25.335


julia,tetralith,16384,1,4.19
julia,tetralith,16384,10,21.3
julia,tetralith,16384,11,21.351
julia,tetralith,16384,12,23.376
julia,tetralith,16384,13,25.116
julia,tetralith,16384,14,25.746
julia,tetralith,16384,15,29.37
julia,tetralith,16384,16,28.512
julia,tetralith,16384,17,31.467
julia,tetralith,16384,18,32.58
julia,tetralith,16384,19,35.15
julia,tetralith,16384,2,10.338
julia,tetralith,16384,20,35.4
julia,tetralith,16384,21,39.627
julia,tetralith,16384,22,39.292
julia,tetralith,16384,23,39.537
julia,tetralith,16384,24,43.32
julia,tetralith,16384,25,46.775
julia,tetralith,16384,26,47.814
julia,tetralith,16384,27,47.115
julia,tetralith,16384,28,48.636
julia,tetralith,16384,29,50.489
julia,tetralith,16384,3,10.884
julia,tetralith,16384,30,52.68
julia,tetralith,16384,31,53.444
julia,tetralith,16384,32,54.72
julia,tetralith,16384,4,11.792
julia,tetralith,16384,5,13.215
julia,tetralith,16384,6,16.35
julia,tetralith,16384,7,19.621
julia,tetralith,16384,8,17.832
julia,tetralith,16384,9,19.719
